DDC,Title,Description
867,The Power of the Smile,"This book examines the relationship between smiling, laughter, and humor within Spanish culture. Rutherford traces the historical development of humor from medieval Spain to the modern era, drawing on literary masterpieces such as Poema de Mio Cid, Libro de Buen Amor, Celestina, and Don Quixote. Combining cultural history, literary analysis, and linguistic insight, the book explores how different forms of humor have shaped Spanish identity and expression."
867,The Illustrated Encyclopedia of Prehistoric Flying Reptiles,"Provides a study of the appearance, lifestyle, and relationships of all known pterosaurs, the flying reptiles of the Mesozoic Era."
867,Seriously Funny: Mexican Political Jokes as Social Resistance,"""Exploring the ways in which political humor has developed and operated in Mexico over more than four centuries, this is groundbreaking work argues persuasively that political jokes are acts of rebellion: their objective is not to overthrow a government but to correct its mistakes""--"
867,Visions,"""[...]another trick, too, of giving everything to the devil, that displeases ye, which we cannot but take very unkindly.? 'The devil take thee,' says one: a goodly present I warrant ye; but the devil has somewhat else to do, than to take and carry away all that's given him; if they'll come of themselves, let them come and welcome.? Another gives that whelp of a lackey to the devil; but the devil will none of your lackeys, he thanks ye for your love; a pack of rogues that are[...]""."
867,Pig on the Titanic: A True Story,"On the disastrous night when the ocean liner Titanic sinks, the sounds of a pig-shaped music box cheer children escaping in a lifeboat."
867,Satire in Colonial Spanish America: Turning the New World Upside Down (Texas Pan American),"Satire, the use of criticism cloaked in wit, has been employed since classical times to challenge the established order of society. In colonial Spanish America during the sixteenth through the eighteenth centuries, many writers used satire to resist Spanish-imposed social and literary forms and find an authentic Latin American voice. This study explores the work of eight satirists of the colonial period and shows how their literary innovations had a formative influence on the development of the modern Latin American novel, essay, and autobiography. The writers studied here include Sor Juana In?s de la Cruz, Juan del Valle y Caviedes, Crist?bal de Llerena, and Eugenio Espejo. Johnson chronicles how they used satire to challenge the ""New World as Utopia"" myth propagated by Spanish authorities and criticize the Catholic church for its role in fulfilling imperialistic designs. She also shows how their marginalized status as Creoles without the rights and privileges of their Spanish heritage made them effective satirists. From their writings, she asserts, emerges the first self-awareness and national consciousness of Spanish America. By linking the two great periods of Latin American literarure ?the colonial writers and the modern generation ?Satire in Colonial Spanish America makes an important contribution to Latin American literature and culture studies. It will also be of interest to all literary scholars who study satire."
867,Mockery in Spanish Golden Age Literature: Analysis of Burlesque Representation,"Mockery in Spanish Golden Age Literature takes a ground-breaking look at seriousness and comicality by investigating burlesque mockery in a variety of 'high' and 'low' style genres produced by major writers like Miguel de Cervantes, Luis de G'ongora, Francisco de Quevedo and Salas Barbadillo during the Spanish Baroque. Examination of the foundations of burlesque mockery in sonnets, romances, theatrical interludes and Don Quixote opens ways of solving problems concerning burlesque laughter.   This systematic investigation of burlesque mockery in the Spanish Golden Age addresses certain theoretical and historical issues of evaluation by presenting practical expositions of representative examples of the burlesque mode thereby exposing both burlesque mockery and the controversy that surrounds it."
867,El libro Troll (Spanish Edition),"Popular blogger and youtuber El Rubius offers the ultimate humorous handbook to living an extraordinary life. With activities to get you noticed and ignite your imagination, the interactive illustrated book promises not only laughs but also a constructive feeling of creative accomplishment."
879,Gesta Romanorum,"Discover one of the greatest collections of medieval literature with this historic work, which features more than 180 tales of Greeks, Romans, Britons, biblical figures, and others. Drawn from European and Asian sources, the stories abound in fascinating figures from all walks of life, including Pope Gregory, Noah, Socrates, and a host of other characters, from emperors to pirates.Chaucer, Boccaccio, and Shakespeare are among the writers influenced by these fables, and readers may recognize scenes reminiscent of The Merchant of Venice, King Lear, """"The Lawyer's Tale"""" from Canterbury Tales, an"
879,Story of Aeneas,"The story of AE-ne'as, as related by the Roman poet Ver'gil in his celebrated poem called the AE-ne'id... is one of the most interesting of the myths or legends that have come down to us from ancient authors."
879,Gesta Romanorum 1595,"The stories contained in the Gesta Romanorum were first used by both religious & secular writers from the time of its first appearance in Latin in the late 13th century, to its publication as a chapbook in the early 18th century. For the clergy, the importance of the Gesta was to provide exempla for their sermons. For secular writers, on the other hand, the Gesta provided story material easily recognizable to their audiences. Such writers as Shakespeare & Thomas Hoccleve may be said to have borrowed story material from this diverse collection. For the modern reader, the Gesta Romanorum is valuable primarily as an example of medieval writing in which allegory is not only used but taught. Robinson's revision of Wynkyn de Worde's first printing of the work in English is here presented in its entirety, with additions made to the 1595 printing from later editions.-Reprint Bulletin."
879,"The Works of Peter Schott, 1460-1490, Vol. II Commentary / Vol. II, Vol. II, Commentary / Commentary","This companion volume to The Works of Peter Schott, Vol. I: Introduction and Text is an essential tool for gaining access to the writings of the humanist Peter Schott. The commentary volume comprises explanatory notes to Vol. I, including English summaries of all items and, in addition, pertinent cultural, economic, and political information. The editors have also included brief biographies of those persons mentioned in Schott's writings and their commentary, as well as fourteen appendices related to the text."
879,The praise of folly,"Desiderius Erasmus (1466-1536) was a Dutch humanist, scholar, and social critic, and one of the most important figures of the Renaissance. The Praise of Folly is perhaps his best-known work. Originally written to amuse his friend Sir Thomas More, this satiric celebration of pleasure, youth, and intoxication irreverently pokes fun at the pieties of theologians and the foibles that make us all human, while ultimately reaffirming the value of Christian ideals. No other book displays quite so completely the transition from the medieval to the modern world, and Erasmus's wit, wisdom, and critical spirit have lost none of their timeliness today. This Princeton Classics edition of The Praise of Folly features a new foreword by Anthony Grafton that provides an essential introduction to this iridescent and enduring masterpiece."
879,"The Works of Peter Schott, 1460-1490, Vol. I Introduction and Text / Vol. I, Vol. I, Introduction and text / Introduction and text","This first complete modern edition of Peter Schott's Lucubraciunculae opened a treasure-trove of information to students of German literature, historians of Humanism, folklorists, and theologians on its publication in 1963. Also included in this volume are the De mensirus syllabarum epithoma and a letter in German to Schott's sister Anna. Schott's works shed light on social, historical and religious questions of the time and are valuable documents of the Northern Renaissance."
879,The Renaissance of the Twelfth Century,"The Italian Renaissance was preceded, structured, and, to a significant extent, determined by the Renaissance of the twelfth century which saw the culmination of Romanesque art and the beginnings of the Gothic; the emergence of vernacular languages; the revival of Latin classics, poetry, and Roman law; the recovery of Greek Science and much Greek philosophy; the origins of universities, towns, and the sovereign state."
879,Ecbasis Cuiusdam Captivi Per Tropologiam--Escape of a Certain Captive Told in a Figurative Manner: An Eleventh-Century Latin Beast Epic (University of ... in Germanic Languages and Literature (46)),"The oldest medieval beast epic was translated literally into English prose for the first time in this volume, with Latin on facing pages. The introduction and commentary by Zeydel familiarize the reader with the history and value of the text and constituted a new approach, arguing for the inclusion of Latin literature composed in what is now Germany in the history of German literature."
879,Europe's Apprenticeship: A Survey of Medieval Latin with Examples,It provides an introduction to Medieval Latin and its role in shaping European civilization. Coulton surveys the development of Latin during the Middle Ages and illustrates its use through selected texts presented alongside English translations. The book serves both as a historical study of medieval culture and as a practical reader for students interested in medieval Latin literature and documents.
879,"British Latin Selections, A.D. 500-C1400","This volume presents selected examples of Latin writing produced in Britain between A.D. 500 and 1400. Designed for students of Medieval Latin, it includes an introduction, explanatory notes focusing on linguistic and literary features, and a vocabulary of medieval Latin words and meanings. The collection provides insight into the evolution of Latin in medieval Britain and its use in religious, historical, and scholarly texts."
879,An Anthology of Medieval Latin,"An Anthology of Medieval Latin is a carefully selected collection of Medieval Latin texts chosen by scholar Stephen Gaselee. Covering a wide range of authors and periods, the anthology introduces readers to the literary, religious, historical, and intellectual traditions of medieval Europe. The selections highlight both the continuity of classical Latin and the distinctive characteristics of medieval Latin literature."
879,Marvels of the East: A Full Reproduction of the Three Known Copies,"This volume reproduces all three surviving manuscript versions of Marvels of the East, a medieval text describing extraordinary peoples, animals, and wonders believed to exist in distant regions of Asia and Africa. Edited by M. R. James, the work is valuable for the study of medieval geography, mythology, travel literature, and manuscript illustration traditions."
