DDC,Title,description,source
879,Studies in Other Italic Literatures,"A scholarly overview of literary traditions written in Italic languages other than Latin, examining their development, forms, major authors, and cultural settings.",ai
879,Poetry of the Italic Languages,"This study surveys poetic traditions in lesser-known Italic languages and considers their themes, structures, transmission, and relationship to the wider classical world.",ai
879,Drama and Narrative in Italic Traditions,"An introduction to dramatic and narrative works from Italic literary traditions, emphasizing genre, historical context, and surviving textual evidence.",ai
879,Essays on Italic Literary Heritage,A collection of critical essays examining the literary heritage of Italic-language communities and the ways their texts have been preserved and interpreted.,ai
879,Voices of Ancient Italic Literature,"This work introduces representative texts and literary traditions associated with ancient Italic languages, placing them within the broader history of classical literature.",ai
480,An Introduction to Classical Greek,"A practical introduction to Classical Greek grammar, vocabulary, sentence structure, and reading, designed to help students approach original Greek texts.",ai
480,Classical Greek Grammar and Syntax,"A systematic treatment of Classical Greek morphology and syntax, with examples illustrating the structure and usage of the language.",ai
480,Reading Ancient Greek Texts,"This guide develops the skills required to read Classical Greek, combining grammatical explanation with progressively more challenging passages.",ai
480,The Development of the Greek Language,"A historical survey of Greek from its ancient forms through later stages, examining changes in vocabulary, grammar, pronunciation, and usage.",ai
480,A Reference Guide to Greek Linguistics,"An accessible reference work covering major features of Greek phonology, morphology, syntax, vocabulary, and historical development.",ai
498,Languages of South America,"An overview of the indigenous languages of South America, discussing their geographic distribution, linguistic diversity, historical development, and classification.",ai
498,Introduction to South American Native Languages,"This study introduces major indigenous language families of South America and examines their structures, communities, and documentation.",ai
498,Language Diversity in Amazonia,"A survey of linguistic diversity in Amazonian communities, focusing on language structure, multilingualism, documentation, and cultural context.",ai
498,Indigenous Languages of the Andes and Lowlands,"This work compares selected indigenous languages from the Andes and surrounding lowlands, highlighting differences in grammar, vocabulary, and historical relationships.",ai
498,A Guide to South American Linguistic Heritage,"An introductory account of the linguistic heritage of South America, with attention to endangered languages, language families, and preservation efforts.",ai
845,French Speeches: Selected Orations,"A collection of French speeches representing important occasions and rhetorical traditions, with attention to political, cultural, and historical contexts.",ai
845,French Oratory Through History,"A historical study of French public speaking and oratory, examining influential speeches and the rhetorical techniques used by their authors.",ai
845,Great Speeches in French,"Selected French speeches illustrating persuasive language, political argument, ceremonial rhetoric, and changing styles of public communication.",ai
845,The Art of French Public Speaking,"An examination of French rhetorical practice, focusing on organization, argument, delivery, persuasion, and the cultural traditions of public speech.",ai
845,French Political and Civic Oratory,This collection brings together examples of French political and civic speeches and considers their historical circumstances and rhetorical significance.,ai
886,Letters from Classical Greece,"A collection and study of ancient Greek letters, presenting personal, political, and literary correspondence and examining their historical and rhetorical value.",ai
886,Classical Greek Epistolary Writing,"A scholarly introduction to letter writing in Classical Greek literature, covering conventions, purposes, authorship, and the relationship between private and public correspondence.",ai
886,Selected Greek Letters of Antiquity,"Representative Greek letters are examined for their language, historical context, literary form, and evidence about social and intellectual life in antiquity.",ai
886,The Greek Letter in the Classical World,"This study explores the development and functions of Greek correspondence, from personal communication to literary and political documents.",ai
886,Studies in Ancient Greek Correspondence,"A collection of studies on Classical Greek letters, emphasizing textual transmission, rhetorical conventions, historical interpretation, and literary significance.",ai
059,Serial Publications in Other Languages,"A reference-oriented collection describing periodicals, journals, and serial publications produced in languages outside the principal language groups represented in standard serial classifications.",ai
059,International Periodicals and Journals,"An overview of serial publications from diverse linguistic communities, considering their forms, subjects, audiences, and role in scholarly communication.",ai
059,Guide to Multilingual Serial Literature,"This guide examines multilingual journals and periodicals, with emphasis on identification, organization, access, and bibliographic description.",ai
059,World Serials Beyond the Major Languages,"A survey of serial publishing in less widely represented languages, highlighting regional publications and their contribution to cultural and scholarly exchange.",ai
059,Bibliographic Studies of International Serials,A collection of bibliographic studies concerning serial publications in diverse languages and the challenges of describing and organizing them.,ai
450,A Grammar of Italian,"A structured introduction to Italian grammar covering pronunciation, morphology, syntax, common constructions, and practical usage.",ai
450,Italian Language and Usage,"This guide explains the main features of contemporary Italian and provides examples of vocabulary, grammar, idiomatic usage, and communication.",ai
450,The History of the Italian Language,A historical account of Italian from its Latin origins through regional varieties and the development of modern standard Italian.,ai
450,Italian Phonology and Pronunciation,"An introduction to the sound system of Italian, including pronunciation, stress, phonological patterns, and regional variation.",ai
450,Italian Grammar for Readers,"A practical reference to Italian grammar designed to support reading and comprehension through explanations of sentence structure, verb forms, and syntax.",ai
586,The World of Seedless Plants,"An introduction to seedless plants, examining their biology, diversity, life cycles, habitats, and ecological importance.",ai
586,Ferns and Other Vascular Cryptogams,"A study of ferns and related seedless vascular plants, covering their structure, reproduction, classification, distribution, and evolutionary history.",ai
586,Bryophytes and Seedless Plant Diversity,"This work surveys major groups of seedless plants and discusses their morphology, reproduction, ecology, and relationships with other plant groups.",ai
586,Cryptogamic Botany,"An overview of seedless and cryptogamic plants, emphasizing their biological characteristics, classification, reproductive strategies, and ecological roles.",ai
586,Field Guide to Seedless Plants,"A practical introduction to identifying and understanding common seedless plants, with descriptions of their habitats, structures, and distinguishing characteristics.",ai
680,Manufacturing Products for Specialized Uses,"An overview of manufacturing methods used to produce specialized consumer and industrial products, emphasizing design, materials, processes, and applications.",ai
680,Technology of Specialized Product Manufacture,"This work examines production technologies for products designed for particular uses, including material selection, fabrication, assembly, and quality control.",ai
680,Special-Purpose Manufacturing,"A survey of manufacturing practices for specialized products, considering production planning, tooling, materials, efficiency, and end-use requirements.",ai
680,Design and Manufacture of Specialized Products,"This guide connects product design with manufacturing processes and discusses how specialized products are developed, fabricated, tested, and improved.",ai
680,Industrial Methods for Special-Use Products,"An introduction to industrial techniques for manufacturing products with specific functions, covering processes, equipment, materials, and production considerations.",ai
773,Pigment Processes in Photography,"A technical history of photographic pigment printing processes, explaining their materials, preparation, image formation, and distinctive visual characteristics.",ai
773,The Art of Pigment Printing,"This guide examines historical pigment-based photographic printing methods, including process chemistry, papers, pigments, and practical working techniques.",ai
773,Carbon and Related Photographic Processes,"An introduction to carbon printing and related pigment processes, describing their development, materials, procedures, and preservation characteristics.",ai
773,Historical Photographic Pigment Techniques,"A study of early photographic printing methods based on pigments, with attention to technical procedures, historical development, and artistic applications.",ai
773,Manual of Photographic Pigment Printing,"A practical reference to pigment-based photographic printing, covering preparation, exposure, transfer, development, finishing, and conservation.",ai
837,German Humor and Satire,"A collection and study of German humorous and satirical writing, examining comic techniques, social criticism, historical context, and literary style.",ai
837,Satire in German Literature,"This work explores the development of satire in German literature and considers how writers have used irony, parody, and humor to criticize society.",ai
837,German Comic Writing Through the Ages,"A survey of humorous German writing from different periods, highlighting recurring themes, literary devices, and changing cultural attitudes.",ai
837,Selected German Satirical Works,"Representative German satirical texts are examined for their language, humor, social commentary, and place in literary history.",ai
837,Studies in German Humor,"A critical introduction to German humor as a literary form, discussing comic traditions, satire, parody, and the relationship between humor and social criticism.",ai
877,Latin Humor and Satire,"A study of humorous and satirical writing in Latin literature, examining comic techniques, social criticism, literary conventions, and historical context.",ai
877,Roman Satire and Comic Writing,"This work surveys Roman satirical traditions and considers how Latin authors used humor, irony, exaggeration, and parody to comment on society.",ai
877,Selected Latin Satires,"A collection and critical study of representative Latin satirical texts, emphasizing literary form, language, cultural references, and social commentary.",ai
877,The Art of Latin Satire,"An examination of the structure and techniques of Latin satire, with attention to major authors, recurring themes, rhetorical strategies, and historical development.",ai
877,Humor in Classical Latin Literature,This study investigates comic and humorous elements in Latin writing and explains their relationship to Roman literary culture and social life.,ai
991,Malaysia: History and Geography,"A historical and geographical introduction to Malaysia, covering its landscapes, communities, political development, economy, and cultural heritage.",ai
991,A History of Malaysia,"This work surveys the history of Malaysia from earlier regional societies through colonial rule, independence, and the development of the modern state.",ai
991,"Malaysia: Land, People, and History","An illustrated overview of Malaysia that connects geography with historical change, population patterns, cultural traditions, and national development.",ai
991,Historical Malaysia,"A concise study of major periods and events in Malaysian history, placing political and social developments within their regional context.",ai
991,The Geography of Malaysia,"An introduction to the physical and human geography of Malaysia, examining climate, landscapes, population, settlements, resources, and regional diversity.",ai
080,General Collections of Knowledge,"A collection of miscellaneous writings covering a range of subjects, intended to provide readers with varied information rather than a single specialized topic.",ai
080,Selected General Readings,"An anthology of general-interest writings bringing together essays, observations, reference material, and short pieces on diverse subjects.",ai
080,A Miscellany of Useful Knowledge,A broad collection of informative and literary pieces designed for readers seeking concise treatments of varied subjects and topics.,ai
080,Compendium of General Readings,"This miscellany gathers short works and informative selections from different fields, offering a wide-ranging source of general reading.",ai
080,General Essays and Miscellany,"A diverse collection of essays and short writings intended for general readers, covering cultural, historical, literary, and practical subjects.",ai
