DDC,title,description
081,The Darwin Awards: Evolution in Action,"Honoring those who improve our gene pool by accidentally removing themselves from it, The Darwin Awards hits the mark with fans of a singular kind of humor. Based on the website, this collection of extraordinary stories profiles the funniest ways people have met their ends through sheer stupidity."
081,"The Devil and Sherlock Holmes: Tales of Murder, Madness and Obsession","From the author of Killers of the Flower Moon comes a masterpiece of narrative nonfiction. This collection gathers twelve gripping real-life mysteries, profiling obsessive investigators, enigmatic modern mariners, and bizarre deaths, exploring what happens when people are pushed to the very limits of human behavior."
081,Take the Cannoli,"From the bestselling author of Assassination Vacation and Lafayette in the Somewhat United States, a collection of hilarious and provocative essays. Sarah Vowell takes us on a road trip through the American cultural landscape, reflecting on everything from the historical irony of the Trail of Tears to her obsession with The Godfather and the complexities of her own family history."
081,Mythologies,"Roland Barthes's classic Mythologies is a foundational text of modern cultural criticism. In a series of brilliant, witty essays, Barthes examines the hidden meanings of the signs and symbols of everyday French life—from wrestling match to plastic, from wine to the face of Greta Garbo—exposing the bourgeois myths that lie beneath the surface of contemporary society."
081,Uncle John's Fully Loaded 25th Anniversary Bathroom Reader,"Uncle John's Fully Loaded 25th Anniversary Bathroom Reader features over 500 pages of the best articles from the series' history, showcasing a blend of trivia, science, history, pop culture, and humor carefully curated to celebrate a quarter-century of bathroom reading."
081,Don't Get Too Comfortable,"In these hilarious, razor-sharp essays, the bestselling author and humorist David Rakoff travels the globe to observe the modern world's slide into excess and privilege. From a high-end spa in Malibu to a luxury cruise ship, Rakoff examines our collective desire for comfort and the absurdities we endure to achieve it."
081,Fraud: Essays,"In this sharp, funny, and deeply revealing collection of semi-autobiographical essays, David Rakoff examines his own life and the feelings of inadequacy and fraudulence that seem to follow him everywhere. From wilderness survival camps to high-fashion photo shoots, Rakoff's unique voice combines cynicism with heart."
081,"The Devil and Sherlock Holmes: Tales of Murder, Madness and Obsession","From the author of Killers of the Flower Moon comes a masterpiece of narrative nonfiction. This collection gathers twelve gripping real-life mysteries, profiling obsessive investigators, enigmatic modern mariners, and bizarre deaths, exploring what happens when people are pushed to the very limits of human behavior."
081,What Are People For?,"In the twenty-two essays collected here, Wendell Berry, whom The Christian Science Monitor called “the “prophetic American voice of our day,” conveys a deep concern for the American economic system and the gluttonous American consumer"
081,Uncle John's Fully Loaded 25th Anniversary Bathroom Reader,"""Fully Loaded” is putting it mildly. This behemoth of a book is overflowing with the incredible stories, surprising facts, weird news, little-known origins, forgotten history, fun wordplay, and everything else that millions of loyal fans have come to expect from world's best-selling bathroom reading series. As always, it's divided by length: quickies for the reader on the go, medium-sized articles for those with a few minutes to spare, and extra-long pieces for those truly leg-numbing experiences."
082,Women's Wit and Wisdom: A Book of Quotations (Dover Thrift Editions),"Ranging from America's insatiable consumerism and household economies to literary subjects and America's attitude toward waste, this collection of essays finds Wendell Berry gracefully navigating from one topic to the next. Berry speaks candidly about the ills plaguing America and the growing gap between people and the land, but despite the somber nature of these topics, his inimitable voice and prose provide an underlying sense of faith and hope."
082,Present Concerns,"Framing his reflections with poetic responsibility, and standing up as a firm believer in the power of the human race, Berry encourages all of us to not only to fix our past mistakes but to build a future that will provide a better life for all."
082,QI: Advanced Banter,"QI: Advanced Banter is a compendium of crisp one-liners, hilarious jokes and inspirational quotes of truth and beauty, collected by John Lloyd and John Mitchinson with contributions from Stephen Fry and Alan Davies."
082,The Oxford Book of Death,"The inescapable reality of death has given rise to much of literature's most profound and moving work. D.J. Enright's wonderfully eclectic selection presents the words of poet and novelist, scientist and philosopher, mystic and sceptic. And alongside these ""professional"" writers, he allows the voices of ordinary people to be heard."
084,The Temptation to Exist,"This collection of eleven essays originally appeared in France thirty years ago and created a literary whirlwind on the Left Bank. Cioran writes incisively about Western civilizations, the writer, the novel, mystics, apostles, and philosophers."
084,Dialogues II,"Dialogues II by Gilles Deleuze, Claire Parnet is a educational resource that offers readers a deep understanding of its core subject matter. First published in 2007, this work has helped countless learners of all levels develop essential knowledge and skills. This comprehensive summary captures the key insights, chapter-by-chapter analysis, and practical applications of the original work."
084,Dialogues,"Dialogues by Gilles Deleuze is a educational resource that offers readers a deep understanding of its core subject matter. First published in 1977, this work has helped countless learners of all levels develop essential knowledge and skills. This comprehensive summary captures the key insights, chapter-by-chapter analysis, and practical applications of the original work."
085,"Idea of Prose (Suny Series, Intersections)","This book consists of prose pieces that find a new form of expression for philosophy, an expression showing the inseparability of idea and prose--the very form of truth."
085,As they seemed to me,"""As They Seemed to Me"" is a captivating collection of literary sketches and personal portraits by the renowned Italian critic and journalist Ugo Ojetti."
086,Secret Horse (Saddle Club #86),"""Stevie Lake, Carole Hanson, and Lisa Atwood are hoping to compete in a prestigious horse show. To that end, they are doing everything they can to stay on stable owner Max Regnery's good side -- including doing extra chores around Pine Hollow such as exercising stable horses, like Samson. Veronica diAngelo is sure that she'll be making the trip to the horse show -- just as she's sure that she'll be bringing home a blue ribbon. And of course, Veronica has no intention of lifting a finger to help anyone. The Saddle Club would love to beat Veronica, but how? She and her horse are tough competition. Then Lisa takes Samson over a jump. He's a natural. Now the Saddle Club has to keep their ""secret weapon"" under wraps and teach Veronica a lesson she won't forget."""
086,Pope Francis in His Own Words,"""The moment the identity of the newly elected 266th pontiff was revealed, it was clear to the thousands gathered in St. Peter's Square, and to the watching world, that this pope was different in fascinating and exciting ways — the first from Latin America, the first Jesuit, and the first to take the name Francis, in honor of St. Francis of Assisi. When Pope Francis, formerly Cardinal Jorge Mario Bergoglio of Buenos Aires, spoke from the balcony of St. Peter's Basilica, he greeted his audience colloquially: ""Brothers and sisters, good evening.” Downplaying his power and position, he proceeded not to bless the crowd but to ask them for their blessing... This revealing collection of his own words, gathered from sermons, interviews, and the Pope's books, prompts understanding and insight into his way of being and believing — and inspires goodwill, love, and hope."""
086,Parliament,"""Get a comprehensive overview of Parliament and its role in British politics with this classic work by Sir Courtney Peregrine Ilbert."""
086,The World's Richest Man: Carlos Slim In His Own Words (In Their Own Words series),"""When Carlos Slim claimed the top spot on Forbes's annual list of the world's richest people in 2010, it was the first time since 1994 that the spot wasn't occupied by an American and, even more impressively, the first time that a person from a developing country topped the list. Although Slim is fabulously wealthy, he lives a relatively modest life, residing in the same house in Mexico City for the last 40 years. The most revelatory book available about this Mexican business magnate, comprised entirely of Slim's own thought-provoking and inspiring quotes, The World's Richest Man: Carlos Slim In His Own Words is a comprehensive guidebook to the inner workings of the world's wealthiest man... Over 200 quotes on business, investing, entrepreneurship, leadership, management, wealth, and life provide an intimate and direct look into the mind of this modern business icon."""
