title,ddc,key,description,subjects
Printmaking with monotype,766,OL7243677W,(无描述),Engraving; Monotype (Engraving); Technique
"Scenery of Great Britain and Ireland in aquatint and lithography, 1770-1860",766,OL2384063W,A bibliographical catalogue of topographical works illustrated with aquatints & lithographs.,Catalogs; Bibliography; Description and travel; Views; Lithography
The art of aquatint,766,OL7582196W,(无描述),Aquatint
Engravings in mezzotint,766,OL7632637W,(无描述),
Luigi Bartolini,766,OL23686325W,(无描述),Prints; Art collections; Exhibitions; Gabinetto disegni e stampe degli Uffizi
Old English mezzotints,766,OL5492036W,(无描述),Mezzotint engraving; British Mezzotint engraving; English Mezzotint engraving; Engraving; Gravure à la manière noire anglaise
"Thomas Watson, James Watson, Elizabeth Judkins. --",766,OL17953042W,(无描述),
The problem of population,766,OL18444411W,(无描述),Birth control; Religious aspects
The Mezzotint,766,OL4784747W,Traces the evolution of the mezzotint from its invention in the 17th century to its great growth in the 18th century. An extensive technical section includes step-by-step descriptions and illustrations of the procedures for making mezzotints.,"Technique; Mezzotint engraving; Mezzotint engraving, technique; History"
Mezzotinto engraving,766,OL5925554W,(无描述),Mezzotint engraving
"A guide for instruction in mathematics : secondary school, grades 7-12",766,OL1263401W,(无描述),
Pari to watakushi,766,OL32687154W,(无描述),Criticism and interpretation; Japanese Mezzotint engraving
Disegni originali d'eccellenti pittori esistenti nella R. Galleria di Firenze incisi in rame ...,766,OL32591276W,(无描述),Drawing; Collections
L' Aquatinte à l'aérographe,766,OL2266382W,(无描述),Technique; Aquatint
Radierung,766,OL5624443W,(无描述),Aquatint; Etching; Mezzotint engraving; Technique
Die hollenmaschine im U-boot,766,OL7782177W,(无描述),"British Prisoners and prisons; German Personal narratives; Naval operations; Submarine; World War, 1914-1918"
John Nash,766,OL4811092W,(无描述),"Royal Pavilion, Art Gallery and Museums, Brighton"
An essay in aid of a grammar of assent,163,OL1144823W,"This book provides the first critical edition of John Henry Newman's classic work, A Grammar of Assent. The editor's introduction contains a synopsis of Newman's argument as well as an account of the development of his thought and a history of the composition of the final text. Ker discusses critical reaction to the Grammar and attempts to clarify and interpret Newman's thoughts in areas where his meaning has been misunderstood. A Textual Appendix lists every variant published in Newman's lifetime and the editor's Notes include detailed references to Newman's other writings. full use has been made of the manuscript drafts and all available philosophical notebooks and papers.",Faith; Theism; Proposities; Waarheid; Théisme
La chasse au trésor à Souriceau-les-bois,163,OL24207379W,(无描述),Trésors; Fiction; Recherche; Animaux
Napoléon,163,OL85074W,(无描述),In literature; Fiction
Les sentiers dans la montagne,163,OL734297W,(无描述),
The nature of demonstrative proof according to the principles of Aristotle and St. Thomas Aquinas,163,OL7218511W,(无描述),Evidence (Law); Evidence
La folie lyrique,163,OL6240709W,(无描述),History and criticism; Modern Poetry; Psychoanalysis and literature; Surrealism (Literature)
The manner of demonstrating in natural philosophy,163,OL7515279W,(无描述),Evidence
In pursuit of mythological background of solung festival of the Adi's of Arunachal Pradesh,163,OL33443666W,(无描述),Harvest festivals; Adi (Indic people); Folklore
Der Begriff der [diathēkē] im Hebräerbrief,163,OL20949217W,(无描述),"Diathēkē (The Greek word); Criticism, interpretation; Bible; Covenant theology"
Medico-ethno-botany of Arunachal Pradesh,163,OL16295502W,(无描述),Ethnobotany; Traditional medicine
Anthologie du surréalisme belge,163,OL44085521W,(无描述),Surrealism (Literature); Literary collections; Surréalisme; Anthologies
Medico-ethno-botany of Arunachal Pradesh,163,OL18788036W,(无描述),Tribes; Ethnobotany; Traditional medicine; Folklore; Medicinal Plants
Nazovimo to osvetom,163,OL45430854W,"Kratki sadržaj\ Nogometna zvijezda mrzi me iz dna duše. Ne krivim ga, ipak sam mu slomila srce prije tri godine. Dolazak na Blairwood trebao je označiti moj novi početak. No, prvog sam dana na kampusu naletjela na posljednju osobu koju sam očekivala vidjeti ovdje. Hayden Watson nimalo ne nalikuje dečku kojeg se sjećam iz srednje škole, ali nisam ni ja osoba koja sam nekad bila. Moje tijelo prekrivaju mnogi duboki ožiljci, dok su njega promjene učinile neodoljivim. Visok je, savršeno isklesanog tijela, prekriven tetovažama s mrkim pogledom na licu svaki put kada se susretnemo. S razlogom su mu dali nadimak Had i nimalo ne krije želju da bi me najradije vidio kako gorim u paklu. Možda bih mu i povjerovala kad kaže koliko me mrzi kada bi me prestao ljubiti. Naše tajne izlaze na vidjelo, ali što se više svađamo, naši poljupci postaju strastveniji. Hoćemo li dobiti još jednu priliku za ljubav ili će naša prošlost uništiti našu šansu za zajedničku budućnost?",collage; Sports Romance; American football; Romance; Sports
