DDC,Title,description,remark
163,Philosophical Doubt: A Historical Survey,"A reference-style study of philosophical doubt, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
163,Belief And Evidence: Themes and Methods,"This volume examines belief and evidence through key concepts and representative examples. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
163,Critical Reasoning: A Research Guide,"An accessible scholarly guide to critical reasoning, with particular attention to methods of study and reference practice. It is designed to support research, comparison, and further reading.",ai-generated
163,Argument Analysis: Selected Studies,This collection presents material on argument analysis and considers major figures and influential works. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
163,Conceptual Distinctions: An Annotated Guide,A focused introduction to conceptual distinctions that explores regional traditions and changing practices. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
163,Reasoning About Knowledge: Historical Perspectives,"A reference-style study of reasoning about knowledge, emphasizing themes across different periods. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
163,Skepticism And Logic: A Comparative Study,"This volume examines skepticism and logic through the relationship between theory and practice. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
163,Argument Structure: Sources and Approaches,"An accessible scholarly guide to argument structure, with particular attention to documentary evidence and research methods. It is designed to support research, comparison, and further reading.",ai-generated
163,Proof And Justification: A Reference Companion,This collection presents material on proof and justification and considers the development of institutions and collections. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
163,Rational Inquiry: Studies and Examples,A focused introduction to rational inquiry that explores comparative approaches to the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
163,Belief Formation: A Historical Survey,"A reference-style study of belief formation, emphasizing the role of language and terminology. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
163,Logical Analysis: Themes and Methods,"This volume examines logical analysis through professional practice and current reference needs. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
163,Philosophical Argumentation: A Research Guide,"An accessible scholarly guide to philosophical argumentation, with particular attention to educational uses and introductory study. It is designed to support research, comparison, and further reading.",ai-generated
163,Evidence And Inference: Selected Studies,This collection presents material on evidence and inference and considers the preservation and interpretation of sources. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
163,Reasoning In Philosophy: An Annotated Guide,A focused introduction to reasoning in philosophy that explores the social and cultural setting of the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
165,Logical Fallacies: A Historical Survey,"A reference-style study of logical fallacies, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
165,Semantic Paradoxes: Themes and Methods,"This volume examines semantic paradoxes through key concepts and representative examples. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
165,Paradoxes Of Self-Reference: A Research Guide,"An accessible scholarly guide to paradoxes of self-reference, with particular attention to methods of study and reference practice. It is designed to support research, comparison, and further reading.",ai-generated
165,False Arguments: Selected Studies,This collection presents material on false arguments and considers major figures and influential works. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
165,Ambiguity In Reasoning: An Annotated Guide,A focused introduction to ambiguity in reasoning that explores regional traditions and changing practices. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
165,Appeals To Authority: Historical Perspectives,"A reference-style study of appeals to authority, emphasizing themes across different periods. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
165,Circular Reasoning: A Comparative Study,"This volume examines circular reasoning through the relationship between theory and practice. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
165,Paradox And Language: Sources and Approaches,"An accessible scholarly guide to paradox and language, with particular attention to documentary evidence and research methods. It is designed to support research, comparison, and further reading.",ai-generated
165,Critical Thinking: A Reference Companion,This collection presents material on critical thinking and considers the development of institutions and collections. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
165,Fallacies In Debate: Studies and Examples,A focused introduction to fallacies in debate that explores comparative approaches to the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
165,Reasoning Errors: A Historical Survey,"A reference-style study of reasoning errors, emphasizing the role of language and terminology. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
165,Paradoxes In Mathematics: Themes and Methods,"This volume examines paradoxes in mathematics through professional practice and current reference needs. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
165,Vagueness And Logic: A Research Guide,"An accessible scholarly guide to vagueness and logic, with particular attention to educational uses and introductory study. It is designed to support research, comparison, and further reading.",ai-generated
165,Misleading Arguments: Selected Studies,This collection presents material on misleading arguments and considers the preservation and interpretation of sources. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
165,Informal Fallacies: An Annotated Guide,A focused introduction to informal fallacies that explores the social and cultural setting of the subject. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
165,Contradictory Propositions: Historical Perspectives,"A reference-style study of contradictory propositions, emphasizing changes brought by new technologies. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
165,Paradoxical Reasoning: A Comparative Study,"This volume examines paradoxical reasoning through selected examples for students and researchers. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
165,Errors In Everyday Argument: Sources and Approaches,"An accessible scholarly guide to errors in everyday argument, with particular attention to connections with related fields of study. It is designed to support research, comparison, and further reading.",ai-generated
165,Logical Analysis Of Rhetoric: A Reference Companion,This collection presents material on logical analysis of rhetoric and considers the organization and use of reference materials. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
165,Argument Evaluation: Studies and Examples,A focused introduction to argument evaluation that explores important debates and scholarly approaches. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
165,Logical Fallacies: A Historical Survey (21),"A reference-style study of logical fallacies, emphasizing the evolution of the subject in modern scholarship. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
165,Semantic Paradoxes: Themes and Methods (22),"This volume examines semantic paradoxes through regional examples and historical context. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
165,Paradoxes Of Self-Reference: A Research Guide (23),"An accessible scholarly guide to paradoxes of self-reference, with particular attention to practical techniques and working procedures. It is designed to support research, comparison, and further reading.",ai-generated
165,False Arguments: Selected Studies (24),"This collection presents material on false arguments and considers major sources, catalogues, and bibliographic evidence. Short sections connect historical evidence with the practices and questions most relevant to the subject.",ai-generated
165,Ambiguity In Reasoning: An Annotated Guide (25),"A focused introduction to ambiguity in reasoning that explores the interaction of readers, writers, and institutions. The description of sources and examples helps readers understand how the subject developed and how it is studied.",ai-generated
167,Hypotheses In Metaphysics: A Historical Survey,"A reference-style study of hypotheses in metaphysics, emphasizing historical development and major sources. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
167,Supposition In Philosophy Of Mind: Themes and Methods,"This volume examines supposition in philosophy of mind through key concepts and representative examples. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
167,Counterfactual Reasoning: A Research Guide,"An accessible scholarly guide to counterfactual reasoning, with particular attention to methods of study and reference practice. It is designed to support research, comparison, and further reading.",ai-generated
167,Philosophical Conjecture: Selected Studies,This collection presents material on philosophical conjecture and considers major figures and influential works. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
167,Hypothetical Propositions: An Annotated Guide,A focused introduction to hypothetical propositions that explores regional traditions and changing practices. The description of sources and examples helps readers understand how the subject developed and how it is studied.,ai-generated
167,Imaginative Supposition: Historical Perspectives,"A reference-style study of imaginative supposition, emphasizing themes across different periods. It brings together concise explanations, representative examples, and context for readers examining the subject.",ai-generated
167,Modal Hypotheses: A Comparative Study,"This volume examines modal hypotheses through the relationship between theory and practice. The discussion identifies important terms, sources, and examples while placing the material within its wider field.",ai-generated
167,Assumptions In Philosophical Argument: Sources and Approaches,"An accessible scholarly guide to assumptions in philosophical argument, with particular attention to documentary evidence and research methods. It is designed to support research, comparison, and further reading.",ai-generated
167,Working Hypotheses In Ethics: A Reference Companion,This collection presents material on working hypotheses in ethics and considers the development of institutions and collections. Short sections connect historical evidence with the practices and questions most relevant to the subject.,ai-generated
